Jean	Hayward	9546321555	0	0	0.00	0.08	0.00	0.00
Marlon	Brando	5612971340	5	50	2.00	0.08	0.16	2.16
John	Kennedy	3051234567	8	25	1.60	0.08	0.13	1.73
Hillary	Clinton	7542346622	24	17	3.26	0.12	0.39	3.66
George	Bush	3054432762	15	30	3.60	0.08	0.29	3.89
Donald	Trump	8776219988	87	82	57.07	0.12	6.85	63.92
Bernie	Sanders	9042224556	4	5	0.16	0.08	0.01	0.17
Harry	Ford	7877176590	11	1	0.09	0.08	0.01	0.10
Ann	Dunham	9546321555	4	3	0.10	0.08	0.01	0.10
Vladimir	Putin	5612971340	79	86	54.35	0.12	6.52	60.87
Harriet	Tubman	3051234567	8	25	1.60	0.08	0.13	1.73
Oprah	Winfrey	7542346622	24	118	22.66	0.12	2.72	25.37
Charlotte	Ray	3054432762	115	25	23.00	0.12	2.76	25.76
Tina	Turner	9544321011	43	10	3.44	0.12	0.41	3.85
Shirley	Chisholm	8776219988	265	22	46.64	0.12	5.60	52.24
Maritza	Correla	9042224556	2	5	0.08	0.08	0.01	0.09
Margaret	Thatcher	7877176590	89	67	47.70	0.12	5.72	53.43
Oprah	Winfrey1	5611234432	11	52	4.58	0.08	0.37	4.94
Oprah	Winfrey2	5611234454	50	502	200.80	0.12	24.10	224.90
Oprah	Winfrey3	5611234495	5	2	0.08	0.08	0.01	0.09
